Proteome_ID,Tax_ID,SUPERREGNUM
UP000831796,2932248,bacteria
UP000606720,2763064,bacteria
UP000218573,2029858,bacteria
UP000204505,1737555,viruses
UP000189580,796027,eukaryota
UP000070589,1698261,archaea
UP000516653,2759389,viruses
UP000323887,2583182,viruses
UP000000867,31530,viruses
UP000005133,439496,bacteria
UP000269019,1862358,bacteria
UP000288884,2304034,viruses
UP000679649,2786560,viruses
UP000241293,1609634,viruses
UP000320239,1867,bacteria
UP000207695,1923606,viruses
UP000325307,1682741,bacteria
UP000204085,573171,viruses
UP000037950,1664068,bacteria
UP000593873,10524,viruses
UP000244239,2161865,bacteria
UP000000358,12322,viruses
UP000171580,385599,viruses
UP000288615,2249941,viruses
UP000054081,9238,eukaryota
UP000325672,132259,eukaryota
UP000523087,247480,bacteria
UP000223730,1971417,viruses
UP000237056,1121886,bacteria
UP000503573,2712938,viruses
UP000503019,2116358,viruses
UP000187195,1122984,bacteria
UP000202901,1922438,viruses
UP000473278,2709311,bacteria
UP000001594,10553,viruses
UP000204106,167927,viruses
UP000290520,2486188,viruses
UP000295681,1251,bacteria
UP000297075,2546631,viruses
UP000094094,47763,bacteria
UP000273883,2219124,viruses
UP000052102,936059,viruses
UP000646053,2690445,bacteria
UP000264702,2303751,bacteria
UP000199502,336292,bacteria
UP000184501,2017,bacteria
UP000019062,1227360,bacteria
UP000241893,2052821,viruses
UP000051836,12930,eukaryota
UP000202892,1923247,viruses
UP000614027,190295,eukaryota
UP000230881,1841196,viruses
UP000326865,2212850,archaea
UP000695562,133409,eukaryota
UP000246259,1774508,viruses
UP000632062,2772301,bacteria
UP000297091,2562236,viruses
UP000310685,1708541,eukaryota
UP000595254,1407,bacteria
UP000503609,2656709,viruses
UP000190868,1874362,bacteria
UP000202090,1955198,viruses
UP000204406,1923277,viruses
UP000017654,1406779,viruses
UP000008595,487099,viruses
UP000242585,310749,viruses
UP000001729,10704,viruses
UP000298698,2420055,viruses
UP000766904,2055836,archaea
UP000280903,2268461,bacteria
UP000559010,2729599,bacteria
UP000516170,2769334,viruses
UP000201073,1871678,viruses
UP000516566,2759390,viruses
UP000267796,2491045,bacteria
UP000593728,2571073,viruses
UP000680721,2584380,viruses
UP000202205,1435446,viruses
UP000595395,2795690,bacteria
UP000249590,2184697,bacteria
UP000887580,55785,eukaryota
UP000307087,574700,bacteria
UP000248340,1448315,eukaryota
UP000144454,915424,viruses
UP000094313,430522,bacteria
UP000053238,9209,eukaryota
UP000296745,2548023,viruses
UP000033514,361041,bacteria
UP000009246,57278,viruses
UP000222256,2023998,viruses
UP000516657,2759391,viruses
UP000297890,2305248,bacteria
UP000002548,93224,viruses
UP000289736,2069327,viruses
UP000263435,2301664,viruses
UP000324299,2585415,viruses
UP000677743,2786269,viruses
UP000007303,99883,eukaryota
UP000198368,1907313,bacteria
UP000292314,2530160,viruses
UP001056005,2912295,viruses
UP000193856,462227,eukaryota
UP000231976,2020330,bacteria
UP000319811,2590895,viruses
UP000515307,67296,bacteria
UP000683168,2786704,viruses
UP000225287,1916206,viruses
UP000223626,1636566,viruses
UP000223419,1916174,viruses
UP000018028,1236974,bacteria
UP000261905,2292705,bacteria
UP000594510,2777301,viruses
UP001057912,2856996,viruses
UP000250098,2072003,viruses
UP000676869,2786725,viruses
UP000000682,649897,viruses
UP000235616,564714,bacteria
UP000290976,334208,viruses
UP000009286,856793,bacteria
UP000201924,1923286,viruses
UP000281865,2219133,viruses
UP000148838,1105386,viruses
UP000198638,83784,bacteria
UP000264338,2292375,bacteria
UP000011717,1234595,bacteria
UP000826003,2796927,bacteria
UP000027002,1159556,eukaryota
UP000077881,217031,bacteria
UP000280501,253184,bacteria
UP000095767,888268,eukaryota
UP000202131,1843750,viruses
UP000501455,2725628,viruses
UP000241587,5516,eukaryota
UP000694541,211598,eukaryota
UP000317496,2594003,bacteria
UP000503540,228602,bacteria
UP000589036,687207,bacteria
UP000242384,942041,viruses
UP000075667,1807500,bacteria
UP000203220,1923632,viruses
UP001065656,2983321,viruses
UP000002311,559292,eukaryota
UP000676426,2720960,viruses
UP000662946,2767548,viruses
UP000676268,2720952,viruses
UP000208065,1503864,viruses
UP000030207,1540091,viruses
UP000204411,754070,viruses
UP000204238,1922496,viruses
UP000226397,1772296,viruses
UP000677738,2746363,viruses
